infusion_week,location,drug_name,total_infusions,unique_patients,avg_piv_attempts_per_infusion,prior_week_infusions,wow_change_pct
2026-01-12,Sarasota,LEQEMBI,8,8,2.13,4,100.0
2026-01-12,Sarasota,TEPEZZA,1,1,4.0,,
2026-01-12,St. Petersburg,KISUNLA,3,3,3.0,1,200.0
2026-01-12,St. Petersburg,LEQEMBI,1,1,4.0,1,0.0
2026-01-12,Tampa,KISUNLA,1,1,5.0,1,0.0
2026-01-12,Tampa,VYEPTI,1,1,4.0,1,0.0
2026-01-12,The Villages,KISUNLA,1,1,4.0,1,0.0
2026-01-12,The Villages,VYEPTI,1,1,2.0,1,0.0
2026-01-12,Venice,KISUNLA,1,1,1.0,2,-50.0
2026-01-12,Venice,LEQEMBI,2,2,2.5,3,-33.33
2026-01-12,Venice,VYEPTI,1,1,2.0,1,0.0
2026-01-19,Brandon,KISUNLA,1,1,3.0,1,0.0
2026-01-19,Brandon,LEQEMBI,2,2,4.0,3,-33.33
2026-01-19,Clearwater,LEQEMBI,2,2,3.0,1,100.0
2026-01-19,Fort Myers,KISUNLA,1,1,4.0,1,0.0
2026-01-19,Fort Myers,LEQEMBI,5,5,2.4,2,150.0
2026-01-19,Fort Myers,TEPEZZA,1,1,2.0,1,0.0
2026-01-19,Lady Lake,LEQEMBI,3,3,2.0,1,200.0
2026-01-19,Lady Lake,VYEPTI,1,1,3.0,,
2026-01-19,OCALA,LEQEMBI,3,3,4.33,2,50.0
2026-01-19,Orlando,KISUNLA,4,4,2.5,2,100.0
2026-01-19,Orlando,LEQEMBI,2,2,2.5,2,0.0
2026-01-19,Sarasota,KISUNLA,1,1,5.0,1,0.0
2026-01-19,Sarasota,LEQEMBI,4,4,3.25,8,-50.0
2026-01-19,St. Petersburg,TEPEZZA,1,1,3.0,,
2026-01-19,Tampa,KISUNLA,1,1,4.0,1,0.0
2026-01-19,Tampa,LEQEMBI,1,1,5.0,1,0.0
2026-01-19,Tampa,VYEPTI,2,2,4.0,1,100.0
2026-01-19,The Villages,LEQEMBI,5,5,2.8,4,25.0
2026-01-19,The Villages,Qutenza,1,1,1.0,1,0.0
2026-01-19,Venice,KISUNLA,2,2,4.0,1,100.0
2026-01-19,Venice,LEQEMBI,1,1,2.0,2,-50.0
2026-01-26,Brandon,VYEPTI,1,1,4.0,1,0.0
2026-01-26,Clearwater,KISUNLA,2,2,5.0,2,0.0
2026-01-26,Clearwater,LEQEMBI,1,1,5.0,2,-50.0
2026-01-26,Fort Myers,KISUNLA,1,1,4.0,1,0.0
2026-01-26,Fort Myers,LEQEMBI,3,3,1.33,5,-40.0
2026-01-26,Lady Lake,KISUNLA,1,1,2.0,1,0.0
2026-01-26,Lady Lake,LEQEMBI,2,2,4.5,3,-33.33
2026-01-26,Lakeland,LEQEMBI,1,1,3.0,1,0.0
2026-01-26,OCALA,Qutenza,1,1,4.0,1,0.0
2026-01-26,Orlando,KISUNLA,4,4,310.25,4,0.0
2026-01-26,Sarasota,KISUNLA,1,1,1.0,1,0.0
2026-01-26,Sarasota,LEQEMBI,8,8,3.0,4,100.0
2026-01-26,Sarasota,TEPEZZA,1,1,1.0,1,0.0
2026-01-26,St. Petersburg,KISUNLA,2,2,4.0,3,-33.33
2026-01-26,St. Petersburg,LEQEMBI,1,1,5.0,1,0.0
2026-01-26,Tampa,LEQEMBI,2,2,4.0,1,100.0
2026-01-26,Tampa,SKYRIZI,1,1,1.0,1,0.0
2026-01-26,Tampa,VYEPTI,1,1,5.0,2,-50.0
2026-01-26,The Villages,KISUNLA,2,2,3.5,1,100.0
2026-01-26,The Villages,LEQEMBI,1,1,3.0,5,-80.0
2026-01-26,Venice,KISUNLA,3,3,1.33,2,50.0
2026-01-26,Venice,LEQEMBI,4,4,2.0,1,300.0
2026-02-02,Brandon,KISUNLA,2,2,2.5,1,100.0
2026-02-02,Brandon,LEQEMBI,3,3,3.67,2,50.0
2026-02-02,Clearwater,KISUNLA,2,2,4.5,2,0.0
2026-02-02,Clearwater,LEQEMBI,2,2,2.5,1,100.0
2026-02-02,Clearwater,VYEPTI,2,2,4.0,1,100.0
2026-02-02,Fort Myers,KISUNLA,4,4,2.75,1,300.0
2026-02-02,Fort Myers,LEQEMBI,5,5,3.0,3,66.67
2026-02-02,Fort Myers,TEPEZZA,1,1,4.0,1,0.0
2026-02-02,Lady Lake,LEQEMBI,3,3,1.33,2,50.0
2026-02-02,Lakeland,KISUNLA,1,1,2.0,1,0.0
2026-02-02,Lakeland,LEQEMBI,1,1,3.0,1,0.0
2026-02-02,OCALA,KISUNLA,2,2,3.0,2,0.0
2026-02-02,OCALA,LEQEMBI,3,3,1.33,3,0.0
2026-02-02,OCALA,VYEPTI,1,1,5.0,,
2026-02-02,Orlando,LEQEMBI,3,3,1.67,2,50.0
2026-02-02,Sarasota,KISUNLA,3,3,3.67,1,200.0
2026-02-02,Sarasota,LEQEMBI,7,7,4.43,8,-12.5
2026-02-02,Sarasota,Qutenza,1,1,3.0,,
2026-02-02,Sarasota,TEPEZZA,1,1,2.0,1,0.0
2026-02-02,Sarasota,VYEPTI,1,1,4.0,1,0.0
2026-02-02,St. Petersburg,LEQEMBI,4,4,2.5,1,300.0
2026-02-02,St. Petersburg,Qutenza,1,1,5.0,,
2026-02-02,St. Petersburg,SKYRIZI,1,1,4.0,1,0.0
2026-02-02,Tampa,KISUNLA,2,2,4.5,1,100.0
2026-02-02,Tampa,VYEPTI,1,1,5.0,1,0.0
2026-02-02,The Villages,KISUNLA,1,1,1.0,2,-50.0
2026-02-02,The Villages,LEQEMBI,8,8,3.5,1,700.0
2026-02-02,The Villages,Qutenza,1,1,3.0,1,0.0
2026-02-02,The Villages,VYEPTI,1,1,2.0,1,0.0
2026-02-02,Venice,KISUNLA,2,2,3.0,3,-33.33
2026-02-02,Venice,LEQEMBI,3,3,2.0,4,-25.0
2026-02-02,Venice,VYEPTI,1,1,5.0,1,0.0
2026-02-09,Brandon,KISUNLA,2,2,3.5,2,0.0
2026-02-09,Brandon,LEQEMBI,3,3,2.0,3,0.0
2026-02-09,Brandon,Qutenza,1,1,1.0,,
2026-02-09,Clearwater,LEQEMBI,4,4,2.25,2,100.0
2026-02-09,Fort Myers,KISUNLA,1,1,1.0,4,-75.0
2026-02-09,Fort Myers,LEQEMBI,6,6,3.33,5,20.0
2026-02-09,Fort Myers,Qutenza,1,1,4.0,,
2026-02-09,Fort Myers,TEPEZZA,2,2,5.0,1,100.0
2026-02-09,Lady Lake,KISUNLA,3,3,3.33,1,200.0
2026-02-09,Lady Lake,LEQEMBI,1,1,1.0,3,-66.67
2026-02-09,Lakeland,KISUNLA,1,1,5.0,1,0.0
2026-02-09,Lakeland,LEQEMBI,2,2,2.0,1,100.0
2026-02-09,Lakeland,SKYRIZI,1,1,4.0,,
2026-02-09,Lakeland,VYEPTI,1,1,3.0,,
2026-02-09,OCALA,KISUNLA,3,3,1.67,2,50.0
2026-02-09,OCALA,LEQEMBI,1,1,4.0,3,-66.67
2026-02-09,OCALA,Qutenza,3,3,2.67,1,200.0
2026-02-09,OCALA,VYEPTI,1,1,3.0,1,0.0
2026-02-09,Orlando,KISUNLA,5,5,4.0,4,25.0
2026-02-09,Orlando,LEQEMBI,2,2,1.0,3,-33.33
2026-02-09,Orlando,SKYRIZI,1,1,5.0,,
2026-02-09,Orlando,VYEPTI,1,1,5.0,1,0.0
2026-02-09,Sarasota,KISUNLA,4,4,3.5,3,33.33
2026-02-09,Sarasota,LEQEMBI,8,8,3.38,7,14.29
2026-02-09,St. Petersburg,KISUNLA,3,3,2.67,2,50.0
2026-02-09,St. Petersburg,LEQEMBI,1,1,2.0,4,-75.0
2026-02-09,St. Petersburg,TEPEZZA,1,1,2.0,1,0.0
2026-02-09,St. Petersburg,VYEPTI,1,1,2.0,5,-80.0
2026-02-09,Tampa,KISUNLA,1,1,1.0,2,-50.0
2026-02-09,Tampa,LEQEMBI,4,4,2.25,2,100.0
2026-02-09,The Villages,KISUNLA,2,2,3.0,1,100.0
2026-02-09,The Villages,LEQEMBI,2,2,3.0,8,-75.0
2026-02-09,The Villages,Qutenza,1,1,4.0,1,0.0
2026-02-09,Venice,KISUNLA,5,5,2.6,2,150.0
2026-02-09,Venice,LEQEMBI,4,4,2.25,3,33.33
2026-02-09,Venice,TEPEZZA,1,1,3.0,,
2026-02-16,Brandon,KISUNLA,1,1,3.0,2,-50.0
2026-02-16,Brandon,LEQEMBI,2,2,2.5,3,-33.33
2026-02-16,Brandon,VYEPTI,1,1,4.0,1,0.0
2026-02-16,Clearwater,LEQEMBI,4,4,3.25,4,0.0
2026-02-16,Clearwater,UPLIZNA,1,1,5.0,,
2026-02-16,Clearwater,VYEPTI,2,2,3.5,2,0.0
2026-02-16,Fort Myers,KISUNLA,3,3,2.0,1,200.0
2026-02-16,Fort Myers,LEQEMBI,6,6,3.33,6,0.0
2026-02-16,Lady Lake,LEQEMBI,5,5,2.6,1,400.0
2026-02-16,Lakeland,LEQEMBI,1,1,5.0,2,-50.0
2026-02-16,Lakeland,VYEPTI,1,1,3.0,1,0.0
2026-02-16,OCALA,KISUNLA,1,1,2.0,3,-66.67
2026-02-16,OCALA,LEQEMBI,3,3,2.33,1,200.0
2026-02-16,OCALA,Qutenza,1,1,4.0,3,-66.67
2026-02-16,Orlando,KISUNLA,3,3,2.33,5,-40.0
2026-02-16,Orlando,LEQEMBI,5,5,2.4,2,150.0
2026-02-16,Orlando,Qutenza,2,2,3.0,,
2026-02-16,Orlando,VYEPTI,1,1,1.0,1,0.0
2026-02-16,Sarasota,KISUNLA,3,3,4.33,4,-25.0
2026-02-16,Sarasota,LEQEMBI,7,7,3.14,8,-12.5
2026-02-16,Sarasota,Qutenza,1,1,2.0,1,0.0
2026-02-16,Sarasota,TEPEZZA,1,1,2.0,1,0.0
2026-02-16,Sarasota,VYEPTI,1,1,5.0,1,0.0
2026-02-16,St. Petersburg,LEQEMBI,3,3,2.67,1,200.0
2026-02-16,Tampa,KISUNLA,2,2,1.0,1,100.0
2026-02-16,Tampa,LEQEMBI,2,2,4.0,4,-50.0
2026-02-16,Tampa,SKYRIZI,2,2,2.5,1,100.0
2026-02-16,The Villages,KISUNLA,2,2,4.0,2,0.0
2026-02-16,The Villages,LEQEMBI,14,14,2.86,2,600.0
2026-02-16,The Villages,Qutenza,1,1,2.0,1,0.0
2026-02-16,Venice,KISUNLA,8,8,3.38,5,60.0
2026-02-16,Venice,LEQEMBI,4,4,2.25,4,0.0
2026-02-16,Venice,Qutenza,1,1,2.0,,
2026-02-23,Brandon,LEQEMBI,3,3,3.0,2,50.0
2026-02-23,Brandon,TEPEZZA,1,1,1.0,,
2026-02-23,Clearwater,KISUNLA,6,6,2.5,2,200.0
2026-02-23,Clearwater,LEQEMBI,6,6,4.0,4,50.0
2026-02-23,Fort Myers,LEQEMBI,7,7,3.29,6,16.67
2026-02-23,Fort Myers,TEPEZZA,1,1,1.0,2,-50.0
2026-02-23,Lady Lake,KISUNLA,1,1,4.0,3,-66.67
2026-02-23,Lady Lake,LEQEMBI,2,2,2.5,5,-60.0
2026-02-23,Lakeland,LEQEMBI,1,1,1.0,1,0.0
2026-02-23,OCALA,LEQEMBI,1,1,3.0,3,-66.67
2026-02-23,OCALA,TEPEZZA,1,1,1.0,,
2026-02-23,Orlando,KISUNLA,8,8,2.88,3,166.67
2026-02-23,Orlando,LEQEMBI,1,1,5.0,5,-80.0
2026-02-23,Orlando,VYEPTI,1,1,2.0,1,0.0
2026-02-23,Sarasota,KISUNLA,2,2,3.0,3,-33.33
2026-02-23,Sarasota,LEQEMBI,9,9,2.67,7,28.57
2026-02-23,Sarasota,Qutenza,1,1,5.0,1,0.0
2026-02-23,Sarasota,TEPEZZA,1,1,1.0,1,0.0
2026-02-23,Sarasota,VYEPTI,1,1,3.0,1,0.0
2026-02-23,St. Petersburg,KISUNLA,6,6,2.5,3,100.0
2026-02-23,St. Petersburg,LEQEMBI,2,2,5.0,3,-33.33
2026-02-23,Tampa,KISUNLA,2,2,3.0,2,0.0
2026-02-23,Tampa,LEQEMBI,3,3,2.67,2,50.0
2026-02-23,Tampa,SKYRIZI,1,1,3.0,2,-50.0
2026-02-23,Tampa,VYEPTI,2,2,5.0,1,100.0
2026-02-23,The Villages,KISUNLA,4,4,3.75,2,100.0
2026-02-23,The Villages,LEQEMBI,3,3,1.0,14,-78.57
2026-02-23,Venice,KISUNLA,3,3,3.67,8,-62.5
2026-02-23,Venice,LEQEMBI,5,5,2.4,4,25.0
2026-02-23,Venice,SKYRIZI,1,1,5.0,,
2026-02-23,Venice,VYEPTI,1,1,1.0,1,0.0
2026-03-02,Brandon,KISUNLA,3,3,3.33,1,200.0
2026-03-02,Brandon,LEQEMBI,3,3,2.0,3,0.0
2026-03-02,Clearwater,KISUNLA,5,5,3.8,6,-16.67
2026-03-02,Clearwater,LEQEMBI,5,5,3.4,6,-16.67
2026-03-02,Clearwater,VYEPTI,3,3,3.0,2,50.0
2026-03-02,Fort Myers,KISUNLA,3,3,2.67,3,0.0
2026-03-02,Fort Myers,LEQEMBI,7,7,3.14,7,0.0
2026-03-02,Fort Myers,VYEPTI,1,1,5.0,,
2026-03-02,Lady Lake,LEQEMBI,5,5,3.4,2,150.0
2026-03-02,Lakeland,LEQEMBI,1,1,1.0,1,0.0
2026-03-02,Lakeland,VYEPTI,1,1,3.0,1,0.0
2026-03-02,OCALA,KISUNLA,3,3,2.33,1,200.0
2026-03-02,OCALA,LEQEMBI,5,5,2.0,1,400.0
2026-03-02,Orlando,KISUNLA,1,1,1.0,8,-87.5
2026-03-02,Orlando,LEQEMBI,6,6,3.5,1,500.0
2026-03-02,Orlando,VYEPTI,1,1,2.0,1,0.0
2026-03-02,Sarasota,KISUNLA,3,3,4.0,2,50.0
2026-03-02,Sarasota,LEQEMBI,10,10,2.8,9,11.11
2026-03-02,St. Petersburg,KISUNLA,1,1,5.0,6,-83.33
2026-03-02,St. Petersburg,LEQEMBI,3,3,2.0,2,50.0
2026-03-02,St. Petersburg,SKYRIZI,1,1,1.0,1,0.0
2026-03-02,St. Petersburg,TEPEZZA,1,1,2.0,1,0.0
2026-03-02,Tampa,KISUNLA,3,3,4.0,2,50.0
2026-03-02,Tampa,LEQEMBI,5,5,2.8,3,66.67
2026-03-02,Tampa,SKYRIZI,1,1,4.0,1,0.0
2026-03-02,The Villages,KISUNLA,4,4,3.25,4,0.0
2026-03-02,The Villages,LEQEMBI,14,14,3.36,3,366.67
2026-03-02,The Villages,VYEPTI,1,1,1.0,1,0.0
2026-03-02,Venice,KISUNLA,4,4,3.0,3,33.33
2026-03-02,Venice,LEQEMBI,5,5,2.0,5,0.0
2026-03-02,Venice,TEPEZZA,1,1,4.0,1,0.0
2026-03-02,Venice,VYEPTI,1,1,4.0,1,0.0
2026-03-09,Brandon,KISUNLA,2,2,3.5,3,-33.33
2026-03-09,Brandon,LEQEMBI,4,4,3.25,3,33.33
2026-03-09,Clearwater,KISUNLA,1,1,1.0,5,-80.0
2026-03-09,Clearwater,LEQEMBI,10,10,3.0,5,100.0
2026-03-09,Clearwater,VYEPTI,2,2,2.5,3,-33.33
2026-03-09,Fort Myers,KISUNLA,2,2,5.0,3,-33.33
2026-03-09,Fort Myers,LEQEMBI,7,7,4.14,7,0.0
2026-03-09,Fort Myers,TEPEZZA,2,2,4.0,1,100.0
2026-03-09,Lady Lake,KISUNLA,2,2,1.5,1,100.0
2026-03-09,Lady Lake,LEQEMBI,4,4,4.0,5,-20.0
2026-03-09,Lakeland,KISUNLA,3,3,1.67,1,200.0
2026-03-09,Lakeland,LEQEMBI,2,2,2.0,1,100.0
2026-03-09,Lakeland,SKYRIZI,1,1,2.0,1,0.0
2026-03-09,OCALA,KISUNLA,3,3,2.33,3,0.0
2026-03-09,OCALA,LEQEMBI,2,2,4.5,5,-60.0
2026-03-09,OCALA,SKYRIZI,1,1,2.0,,
2026-03-09,Orlando,KISUNLA,3,3,2.67,1,200.0
2026-03-09,Orlando,LEQEMBI,4,4,2.75,6,-33.33
2026-03-09,Orlando,SKYRIZI,1,1,3.0,1,0.0
2026-03-09,Sarasota,KISUNLA,5,5,2.6,3,66.67
2026-03-09,Sarasota,LEQEMBI,14,14,2.86,10,40.0
2026-03-09,Sarasota,Qutenza,1,1,2.0,1,0.0
2026-03-09,Sarasota,TEPEZZA,1,1,5.0,1,0.0
2026-03-09,St. Petersburg,KISUNLA,2,2,3.5,1,100.0
2026-03-09,St. Petersburg,LEQEMBI,1,1,1.0,3,-66.67
2026-03-09,Tampa,KISUNLA,4,4,2.75,3,33.33
2026-03-09,Tampa,LEQEMBI,3,3,2.33,5,-40.0
2026-03-09,Tampa,SKYRIZI,3,3,2.0,1,200.0
2026-03-09,Tampa,TEPEZZA,1,1,4.0,,
2026-03-09,Tampa,VYEPTI,4,4,2.75,2,100.0
2026-03-09,The Villages,KISUNLA,3,3,3.33,4,-25.0
2026-03-09,The Villages,LEQEMBI,6,6,3.33,14,-57.14
2026-03-09,The Villages,Qutenza,2,2,5.0,1,100.0
2026-03-09,The Villages,VYEPTI,1,1,2.0,1,0.0
2026-03-09,Venice,KISUNLA,5,5,3.2,4,25.0
2026-03-09,Venice,LEQEMBI,5,5,3.6,5,0.0
2026-03-16,Brandon,KISUNLA,4,4,1.75,2,100.0
2026-03-16,Brandon,LEQEMBI,3,3,1.33,4,-25.0
2026-03-16,Brandon,Qutenza,1,1,5.0,1,0.0
2026-03-16,Brandon,TEPEZZA,1,1,1.0,1,0.0
2026-03-16,Clearwater,LEQEMBI,7,7,2.71,10,-30.0
2026-03-16,Fort Myers,KISUNLA,5,5,2.8,2,150.0
2026-03-16,Fort Myers,LEQEMBI,5,5,3.2,7,-28.57
2026-03-16,Fort Myers,TEPEZZA,1,1,4.0,2,-50.0
2026-03-16,Fort Myers,VYEPTI,1,1,3.0,1,0.0
2026-03-16,Lady Lake,KISUNLA,1,1,2.0,2,-50.0
2026-03-16,Lady Lake,LEQEMBI,6,6,3.0,4,50.0
2026-03-16,Lady Lake,VYEPTI,1,1,1.0,1,0.0
2026-03-16,Lakeland,LEQEMBI,2,2,2.0,2,0.0
2026-03-16,Lakeland,SKYRIZI,1,1,4.0,1,0.0
2026-03-16,OCALA,KISUNLA,1,1,4.0,3,-66.67
2026-03-16,OCALA,LEQEMBI,3,3,2.33,2,50.0
2026-03-16,OCALA,Qutenza,1,1,1.0,1,0.0
2026-03-16,OCALA,TEPEZZA,1,1,5.0,1,0.0
2026-03-16,Orlando,KISUNLA,6,6,2.5,3,100.0
2026-03-16,Orlando,LEQEMBI,7,7,3.57,4,75.0
2026-03-16,Orlando,VYEPTI,1,1,2.0,1,0.0
2026-03-16,Sarasota,KISUNLA,5,5,4.0,5,0.0
2026-03-16,Sarasota,LEQEMBI,11,11,2.73,14,-21.43
2026-03-16,Sarasota,Qutenza,1,1,5.0,1,0.0
2026-03-16,Sarasota,TEPEZZA,1,1,1.0,1,0.0
2026-03-16,St. Petersburg,KISUNLA,1,1,5.0,2,-50.0
2026-03-16,St. Petersburg,LEQEMBI,4,4,3.5,1,300.0
2026-03-16,St. Petersburg,SKYRIZI,1,1,4.0,1,0.0
2026-03-16,Tampa,KISUNLA,3,3,2.67,4,-25.0
2026-03-16,Tampa,LEQEMBI,4,4,3.0,3,33.33
2026-03-16,Tampa,SKYRIZI,2,2,5.0,3,-33.33
2026-03-16,Tampa,TEPEZZA,2,2,3.0,1,100.0
2026-03-16,Tampa,VYEPTI,1,1,3.0,4,-75.0
2026-03-16,The Villages,KISUNLA,3,3,2.67,3,0.0
2026-03-16,The Villages,LEQEMBI,15,15,3.73,6,150.0
2026-03-16,Venice,KISUNLA,9,9,3.22,5,80.0
2026-03-16,Venice,LEQEMBI,4,4,2.75,5,-20.0
2026-03-16,Venice,UPLIZNA,1,1,4.0,,
2026-03-23,Brandon,LEQEMBI,6,6,4.5,3,100.0
2026-03-23,Brandon,Qutenza,1,1,4.0,1,0.0
2026-03-23,Brandon,TEPEZZA,1,1,4.0,1,0.0
2026-03-23,Clearwater,KISUNLA,5,5,2.6,1,400.0
2026-03-23,Clearwater,LEQEMBI,10,10,2.9,7,42.86
2026-03-23,Fort Myers,KISUNLA,1,1,1.0,5,-80.0
2026-03-23,Fort Myers,LEQEMBI,6,6,3.5,5,20.0
2026-03-23,Fort Myers,VYEPTI,1,1,2.0,1,0.0
2026-03-23,Lady Lake,KISUNLA,1,1,1.0,1,0.0
2026-03-23,Lady Lake,LEQEMBI,4,4,3.25,6,-33.33
2026-03-23,Lady Lake,Qutenza,1,1,1.0,,
2026-03-23,Lakeland,LEQEMBI,2,2,4.5,2,0.0
2026-03-23,OCALA,LEQEMBI,2,2,1.5,3,-33.33
2026-03-23,OCALA,SKYRIZI,1,1,3.0,1,0.0
2026-03-23,Orlando,KISUNLA,5,5,3.6,6,-16.67
2026-03-23,Orlando,LEQEMBI,4,4,2.5,7,-42.86
2026-03-23,Orlando,VYEPTI,2,2,3.0,1,100.0
2026-03-23,Sarasota,KISUNLA,4,4,2.5,5,-20.0
2026-03-23,Sarasota,LEQEMBI,14,14,2.93,11,27.27
2026-03-23,St. Petersburg,KISUNLA,5,5,4.6,1,400.0
2026-03-23,St. Petersburg,LEQEMBI,2,2,1.5,4,-50.0
2026-03-23,St. Petersburg,TEPEZZA,1,1,3.0,1,0.0
2026-03-23,Tampa,KISUNLA,2,2,4.0,3,-33.33
2026-03-23,Tampa,LEQEMBI,5,5,3.0,4,25.0
2026-03-23,Tampa,SKYRIZI,3,3,335.67,2,50.0
2026-03-23,Tampa,TEPEZZA,1,1,4.0,2,-50.0
2026-03-23,Tampa,VYEPTI,2,2,3.0,1,100.0
2026-03-23,The Villages,KISUNLA,7,7,3.29,3,133.33
2026-03-23,The Villages,LEQEMBI,9,9,3.56,15,-40.0
2026-03-23,The Villages,Qutenza,1,1,4.0,2,-50.0
2026-03-23,Venice,KISUNLA,2,2,2.0,9,-77.78
2026-03-23,Venice,LEQEMBI,7,7,3.29,4,75.0
2026-03-23,Venice,SKYRIZI,1,1,5.0,1,0.0
2026-03-23,Venice,TEPEZZA,2,2,2.5,1,100.0
2026-03-30,Brandon,KISUNLA,2,2,2.0,4,-50.0
